time(s),ADRC y best
5.045,1.00165
5.05,1.00165
5.055,1.00165
5.06,1.00165
5.065,1.00165
5.07,1.00165
5.075,1.00165
5.08,1.00165
5.085,1.00165
5.09,1.00164
5.095,1.00164
5.1,1.00164
5.105,1.00164
5.11,1.00163
5.115,1.00163
5.12,1.00162
5.125,1.00162
5.13,1.00162
5.135,1.00161
5.14,1.00161
5.145,1.0016
5.15,1.0016
5.155,1.00159
5.16,1.00159
5.165,1.00158
5.17,1.00158
5.175,1.00157
5.18,1.00156
5.185,1.00156
5.19,1.00155
5.195,1.00154
5.2,1.00154
5.205,1.00153
5.21,1.00152
5.215,1.00152
5.22,1.00151
5.225,1.0015
5.23,1.00149
5.235,1.00149
5.24,1.00148
5.245,1.00147
5.25,1.00146
5.255,1.00145
5.26,1.00144
5.265,1.00144
5.27,1.00143
5.275,1.00142
5.28,1.00141
5.285,1.0014
5.29,1.00139
5.295,1.00138
5.3,1.00137
5.305,1.00136
5.31,1.00135
5.315,1.00134
5.32,1.00133
5.325,1.00132
5.33,1.00131
5.335,1.0013
5.34,1.00129
5.345,1.00128
5.35,1.00127
5.355,1.00126
5.36,1.00125
5.365,1.00124
5.37,1.00123
5.375,1.00122
5.38,1.00121
5.385,1.00119
5.39,1.00118
5.395,1.00117
5.4,1.00116
5.405,1.00115
5.41,1.00114
5.415,1.00113
5.42,1.00112
5.425,1.00111
5.43,1.00109
5.435,1.00108
5.44,1.00107
5.445,1.00106
5.45,1.00105
5.455,1.00104
5.46,1.00102
5.465,1.00101
5.47,1.001
5.475,1.00099
5.48,1.00098
5.485,1.00097
5.49,1.00096
5.495,1.00094
5.5,1.00093
5.505,1.00092
5.51,1.00091
5.515,1.0009
5.52,1.00089
5.525,1.00087
5.53,1.00086
5.535,1.00085
5.54,1.00084
5.545,1.00083
5.55,1.00082
5.555,1.0008
5.56,1.00079
5.565,1.00078
5.57,1.00077
5.575,1.00076
5.58,1.00075
5.585,1.00073
5.59,1.00072
5.595,1.00071
5.6,1.0007
5.605,1.00069
5.61,1.00068
5.615,1.00067
5.62,1.00066
5.625,1.00064
5.63,1.00063
5.635,1.00062
5.64,1.00061
5.645,1.0006
5.65,1.00059
5.655,1.00058
5.66,1.00057
5.665,1.00056
5.67,1.00055
5.675,1.00053
5.68,1.00052
5.685,1.00051
5.69,1.0005
5.695,1.00049
5.7,1.00048
5.705,1.00047
5.71,1.00046
5.715,1.00045
5.72,1.00044
5.725,1.00043
5.73,1.00042
5.735,1.00041
5.74,1.0004
5.745,1.00039
5.75,1.00038
5.755,1.00037
5.76,1.00036
5.765,1.00035
5.77,1.00034
5.775,1.00033
5.78,1.00032
5.785,1.00031
5.79,1.0003
5.795,1.00029
5.8,1.00028
5.805,1.00027
5.81,1.00027
5.815,1.00026
5.82,1.00025
5.825,1.00024
5.83,1.00023
5.835,1.00022
5.84,1.00021
5.845,1.0002
5.85,1.0002
5.855,1.00019
5.86,1.00018
5.865,1.00017
5.87,1.00016
5.875,1.00015
5.88,1.00015
5.885,1.00014
5.89,1.00013
5.895,1.00012
5.9,1.00012
5.905,1.00011
5.91,1.0001
5.915,1.00009
5.92,1.00009
5.925,1.00008
5.93,1.00007
5.935,1.00006
5.94,1.00006
5.945,1.00005
5.95,1.00004
5.955,1.00004
5.96,1.00003
5.965,1.00002
5.97,1.00002
5.975,1.00001
5.98,1
5.985,0.999997
5.99,0.99999
5.995,0.999984
6,0.999978
6.005,0.999972
6.01,0.999966
6.015,0.999961
6.02,0.999955
6.025,0.999949
6.03,0.999944
6.035,0.999938
6.04,0.999933
6.045,0.999927
6.05,0.999922
6.055,0.999917
6.06,0.999912
6.065,0.999907
6.07,0.999902
6.075,0.999897
6.08,0.999892
6.085,0.999888
6.09,0.999883
6.095,0.999878
6.1,0.999874
6.105,0.99987
6.11,0.999865
6.115,0.999861
6.12,0.999857
6.125,0.999853
6.13,0.999849
6.135,0.999845
6.14,0.999841
6.145,0.999837
6.15,0.999834
6.155,0.99983
6.16,0.999827
6.165,0.999823
6.17,0.99982
6.175,0.999816
6.18,0.999813
6.185,0.99981
6.19,0.999807
6.195,0.999804
6.2,0.999801
6.205,0.999798
6.21,0.999795
6.215,0.999793
6.22,0.99979
6.225,0.999787
6.23,0.999785
6.235,0.999782
6.24,0.99978
6.245,0.999778
6.25,0.999775
6.255,0.999773
6.26,0.999771
6.265,0.999769
6.27,0.999767
6.275,0.999765
6.28,0.999763
6.285,0.999761
6.29,0.99976
6.295,0.999758
6.3,0.999756
6.305,0.999755
6.31,0.999753
6.315,0.999752
6.32,0.999751
6.325,0.999749
6.33,0.999748
6.335,0.999747
6.34,0.999746
6.345,0.999745
6.35,0.999744
6.355,0.999743
6.36,0.999742
6.365,0.999741
6.37,0.99974
6.375,0.999739
6.38,0.999739
6.385,0.999738
6.39,0.999737
6.395,0.999737
6.4,0.999736
6.405,0.999736
6.41,0.999735
6.415,0.999735
6.42,0.999735
6.425,0.999735
6.43,0.999734
6.435,0.999734
6.44,0.999734
6.445,0.999734
6.45,0.999734
6.455,0.999734
6.46,0.999734
6.465,0.999734
6.47,0.999734
6.475,0.999735
6.48,0.999735
6.485,0.999735
6.49,0.999735
6.495,0.999736
6.5,0.999736
6.505,0.999737
6.51,0.999737
6.515,0.999738
6.52,0.999738
6.525,0.999739
6.53,0.999739
6.535,0.99974
6.54,0.999741
6.545,0.999741
6.55,0.999742
6.555,0.999743
6.56,0.999744
6.565,0.999745
6.57,0.999746
6.575,0.999746
6.58,0.999747
6.585,0.999748
6.59,0.999749
6.595,0.99975
6.6,0.999752
6.605,0.999753
6.61,0.999754
6.615,0.999755
6.62,0.999756
6.625,0.999757
6.63,0.999759
6.635,0.99976
6.64,0.999761
6.645,0.999762
6.65,0.999764
6.655,0.999765
6.66,0.999766
6.665,0.999768
6.67,0.999769
6.675,0.999771
6.68,0.999772
6.685,0.999773
6.69,0.999775
6.695,0.999776
6.7,0.999778
6.705,0.99978
6.71,0.999781
6.715,0.999783
6.72,0.999784
6.725,0.999786
6.73,0.999787
6.735,0.999789
6.74,0.999791
6.745,0.999792
6.75,0.999794
6.755,0.999796
6.76,0.999797
6.765,0.999799
6.77,0.999801
6.775,0.999803
6.78,0.999804
6.785,0.999806
6.79,0.999808
6.795,0.99981
6.8,0.999811
6.805,0.999813
6.81,0.999815
6.815,0.999817
6.82,0.999819
6.825,0.99982
6.83,0.999822
6.835,0.999824
6.84,0.999826
6.845,0.999828
6.85,0.99983
6.855,0.999831
6.86,0.999833
6.865,0.999835
6.87,0.999837
6.875,0.999839
6.88,0.999841
6.885,0.999843
6.89,0.999844
6.895,0.999846
6.9,0.999848
6.905,0.99985
6.91,0.999852
6.915,0.999854
6.92,0.999856
6.925,0.999858
6.93,0.999859
6.935,0.999861
6.94,0.999863
6.945,0.999865
6.95,0.999867
6.955,0.999869
6.96,0.999871
6.965,0.999872
6.97,0.999874
6.975,0.999876
6.98,0.999878
6.985,0.99988
6.99,0.999882
6.995,0.999884
7,0.999885
7.005,0.999887
7.01,0.999889
7.015,0.999891
7.02,0.999893
7.025,0.999895
7.03,0.999896
7.035,0.999898
7.04,0.9999
7.045,0.999902
7.05,0.999904
7.055,0.999905
7.06,0.999907
7.065,0.999909
7.07,0.999911
7.075,0.999912
7.08,0.999914
7.085,0.999916
7.09,0.999917
7.095,0.999919
7.1,0.999921
7.105,0.999923
7.11,0.999924
7.115,0.999926
7.12,0.999928
7.125,0.999929
7.13,0.999931
7.135,0.999932
7.14,0.999934
7.145,0.999936
7.15,0.999937
7.155,0.999939
7.16,0.99994
7.165,0.999942
7.17,0.999944
7.175,0.999945
7.18,0.999947
7.185,0.999948
7.19,0.99995
7.195,0.999951
7.2,0.999953
7.205,0.999954
7.21,0.999956
7.215,0.999957
7.22,0.999959
7.225,0.99996
7.23,0.999961
7.235,0.999963
7.24,0.999964
7.245,0.999966
7.25,0.999967
7.255,0.999968
7.26,0.99997
7.265,0.999971
7.27,0.999972
7.275,0.999974
7.28,0.999975
7.285,0.999976
7.29,0.999978
7.295,0.999979
7.3,0.99998
7.305,0.999981
7.31,0.999983
7.315,0.999984
7.32,0.999985
7.325,0.999986
7.33,0.999987
7.335,0.999989
7.34,0.99999
7.345,0.999991
7.35,0.999992
7.355,0.999993
7.36,0.999994
7.365,0.999995
7.37,0.999996
7.375,0.999997
7.38,0.999998
7.385,0.999999
7.39,1
7.395,1
7.4,1
7.405,1
7.41,1
7.415,1.00001
7.42,1.00001
7.425,1.00001
7.43,1.00001
7.435,1.00001
7.44,1.00001
7.445,1.00001
7.45,1.00001
7.455,1.00001
7.46,1.00001
7.465,1.00001
7.47,1.00001
7.475,1.00002
7.48,1.00002
7.485,1.00002
7.49,1.00002
7.495,1.00002
7.5,1.00002
7.505,1.00002
7.51,1.00002
7.515,1.00002
7.52,1.00002
7.525,1.00002
7.53,1.00002
7.535,1.00002
7.54,1.00002
7.545,1.00003
7.55,1.00003
7.555,1.00003
7.56,1.00003
7.565,1.00003
7.57,1.00003
7.575,1.00003
7.58,1.00003
7.585,1.00003
7.59,1.00003
7.595,1.00003
7.6,1.00003
7.605,1.00003
7.61,1.00003
7.615,1.00003
7.62,1.00003
7.625,1.00003
7.63,1.00003
7.635,1.00003
7.64,1.00003
7.645,1.00004
7.65,1.00004
7.655,1.00004
7.66,1.00004
7.665,1.00004
7.67,1.00004
7.675,1.00004
7.68,1.00004
7.685,1.00004
7.69,1.00004
7.695,1.00004
7.7,1.00004
7.705,1.00004
7.71,1.00004
7.715,1.00004
7.72,1.00004
7.725,1.00004
7.73,1.00004
7.735,1.00004
7.74,1.00004
7.745,1.00004
7.75,1.00004
7.755,1.00004
7.76,1.00004
